fid,DN,area_m2,distance,angle,Latitude,Longitude,geometry
127,1,1005715.618,0.0,90.0,25.7291539,74.1262952,POINT (412360 2845980)
127,1,1005715.618,10.0,90.0,25.7291545,74.1263949,POINT (412370 2845980)
127,1,1005715.618,20.0,90.0,25.7291551,74.1264946,POINT (412380 2845980)
127,1,1005715.618,30.0,90.0,25.7291557,74.1265942,POINT (412390 2845980)
127,1,1005715.618,40.0,135.0,25.7291563,74.1266939,POINT (412400 2845980)
127,1,1005715.618,50.0,135.0,25.729066,74.1266946,POINT (412400 2845970)
127,1,1005715.618,60.0,90.0,25.7290666,74.1267943,POINT (412410 2845970)
127,1,1005715.618,70.0,90.0,25.7290672,74.1268939,POINT (412420 2845970)
127,1,1005715.618,80.0,90.0,25.7290678,74.1269936,POINT (412430 2845970)
127,1,1005715.618,90.0,90.0,25.7290684,74.1270933,POINT (412440 2845970)
127,1,1005715.618,100.0,135.0,25.729069,74.127193,POINT (412450 2845970)
127,1,1005715.618,110.0,135.0,25.7289787,74.1271937,POINT (412450 2845960)
127,1,1005715.618,120.0,90.0,25.7289793,74.1272933,POINT (412460 2845960)
127,1,1005715.618,130.0,90.0,25.7289799,74.127393,POINT (412470 2845960)
127,1,1005715.618,140.0,90.0,25.7289805,74.1274927,POINT (412480 2845960)
127,1,1005715.618,150.0,90.0,25.7289811,74.1275924,POINT (412490 2845960)
127,1,1005715.618,160.0,90.0,25.7289816,74.1276921,POINT (412500 2845960)
127,1,1005715.618,170.0,135.0,25.7289822,74.1277918,POINT (412510 2845960)
127,1,1005715.618,180.0,135.0,25.728892,74.1277924,POINT (412510 2845950)
127,1,1005715.618,190.0,90.0,25.7288925,74.1278921,POINT (412520 2845950)
127,1,1005715.618,200.0,135.0,25.7288931,74.1279918,POINT (412530 2845950)
127,1,1005715.618,210.0,135.0,25.7288029,74.1279924,POINT (412530 2845940)
127,1,1005715.618,220.0,135.0,25.7288035,74.1280921,POINT (412540 2845940)
127,1,1005715.618,230.0,135.0,25.7287132,74.1280928,POINT (412540 2845930)
127,1,1005715.618,240.0,90.0,25.7287138,74.1281925,POINT (412550 2845930)
127,1,1005715.618,250.0,135.0,25.7287144,74.1282921,POINT (412560 2845930)
127,1,1005715.618,260.0,135.0,25.7286241,74.1282928,POINT (412560 2845920)
127,1,1005715.618,270.0,90.0,25.7286247,74.1283925,POINT (412570 2845920)
127,1,1005715.618,280.0,90.0,25.7286253,74.1284922,POINT (412580 2845920)
127,1,1005715.618,290.0,90.0,25.7286258,74.1285919,POINT (412590 2845920)
127,1,1005715.618,300.0,135.0,25.7286264,74.1286915,POINT (412600 2845920)
127,1,1005715.618,310.0,135.0,25.7285362,74.1286922,POINT (412600 2845910)
127,1,1005715.618,320.0,90.0,25.7285368,74.1287919,POINT (412610 2845910)
127,1,1005715.618,330.0,135.0,25.7285373,74.1288916,POINT (412620 2845910)
127,1,1005715.618,340.0,180.0,25.7284471,74.1288922,POINT (412620 2845900)
127,1,1005715.618,350.0,135.0,25.7283568,74.1288929,POINT (412620 2845890)
127,1,1005715.618,360.0,135.0,25.7283574,74.1289926,POINT (412630 2845890)
127,1,1005715.618,370.0,135.0,25.7282671,74.1289932,POINT (412630 2845880)
127,1,1005715.618,380.0,90.0,25.7282677,74.1290929,POINT (412640 2845880)
127,1,1005715.618,390.0,135.0,25.7282683,74.1291926,POINT (412650 2845880)
127,1,1005715.618,400.0,135.0,25.728178,74.1291932,POINT (412650 2845870)
127,1,1005715.618,410.0,135.0,25.7281786,74.1292929,POINT (412660 2845870)
127,1,1005715.618,420.0,180.0,25.7280883,74.1292936,POINT (412660 2845860)
127,1,1005715.618,430.0,135.0,25.727998,74.1292942,POINT (412660 2845850)
127,1,1005715.618,440.0,135.0,25.7279986,74.1293939,POINT (412670 2845850)
127,1,1005715.618,450.0,180.0,25.7279083,74.1293946,POINT (412670 2845840)
127,1,1005715.618,460.0,225.0,25.727818,74.1293952,POINT (412670 2845830)
127,1,1005715.618,470.0,225.0,25.7278174,74.1292956,POINT (412660 2845830)
127,1,1005715.618,480.0,135.0,25.7277271,74.1292962,POINT (412660 2845820)
127,1,1005715.618,490.0,90.0,25.7277277,74.1293959,POINT (412670 2845820)
127,1,1005715.618,500.0,135.0,25.7277283,74.1294956,POINT (412680 2845820)
127,1,1005715.618,510.0,135.0,25.727638,74.1294962,POINT (412680 2845810)
127,1,1005715.618,520.0,135.0,25.7276386,74.1295959,POINT (412690 2845810)
127,1,1005715.618,530.0,180.0,25.7275483,74.1295966,POINT (412690 2845800)
127,1,1005715.618,540.0,135.0,25.727458,74.1295972,POINT (412690 2845790)
127,1,1005715.618,550.0,135.0,25.7274586,74.1296969,POINT (412700 2845790)
127,1,1005715.618,560.0,180.0,25.7273683,74.1296976,POINT (412700 2845780)
127,1,1005715.618,570.0,135.0,25.727278,74.1296982,POINT (412700 2845770)
127,1,1005715.618,580.0,135.0,25.7272786,74.1297979,POINT (412710 2845770)
127,1,1005715.618,590.0,135.0,25.7271883,74.1297986,POINT (412710 2845760)
127,1,1005715.618,600.0,135.0,25.7271889,74.1298982,POINT (412720 2845760)
127,1,1005715.618,610.0,135.0,25.7270986,74.1298989,POINT (412720 2845750)
127,1,1005715.618,620.0,90.0,25.7270992,74.1299986,POINT (412730 2845750)
127,1,1005715.618,630.0,45.0,25.7270998,74.1300983,POINT (412740 2845750)
127,1,1005715.618,640.0,45.0,25.7271901,74.1300976,POINT (412740 2845760)
127,1,1005715.618,650.0,90.0,25.7271907,74.1301973,POINT (412750 2845760)
127,1,1005715.618,660.0,45.0,25.7271913,74.130297,POINT (412760 2845760)
127,1,1005715.618,670.0,45.0,25.7272816,74.1302963,POINT (412760 2845770)
127,1,1005715.618,680.0,135.0,25.7272822,74.130396,POINT (412770 2845770)
127,1,1005715.618,690.0,135.0,25.7271919,74.1303967,POINT (412770 2845760)
127,1,1005715.618,700.0,45.0,25.7271925,74.1304963,POINT (412780 2845760)
127,1,1005715.618,710.0,0.0,25.7272828,74.1304957,POINT (412780 2845770)
127,1,1005715.618,720.0,0.0,25.7273731,74.130495,POINT (412780 2845780)
127,1,1005715.618,730.0,315.0,25.7274634,74.1304944,POINT (412780 2845790)
127,1,1005715.618,740.0,315.0,25.7274628,74.1303947,POINT (412770 2845790)
127,1,1005715.618,750.0,45.0,25.7275531,74.130394,POINT (412770 2845800)
127,1,1005715.618,760.0,45.0,25.7275537,74.1304937,POINT (412780 2845800)
127,1,1005715.618,770.0,315.0,25.727644,74.1304931,POINT (412780 2845810)
127,1,1005715.618,780.0,315.0,25.7276434,74.1303934,POINT (412770 2845810)
127,1,1005715.618,790.0,45.0,25.7277337,74.1303927,POINT (412770 2845820)
127,1,1005715.618,800.0,45.0,25.7277342,74.1304924,POINT (412780 2845820)
127,1,1005715.618,810.0,0.0,25.7278245,74.1304917,POINT (412780 2845830)
127,1,1005715.618,820.0,45.0,25.7279148,74.1304911,POINT (412780 2845840)
127,1,1005715.618,830.0,45.0,25.7279154,74.1305908,POINT (412790 2845840)
127,1,1005715.618,840.0,45.0,25.7280057,74.1305901,POINT (412790 2845850)
127,1,1005715.618,850.0,45.0,25.7280063,74.1306898,POINT (412800 2845850)
127,1,1005715.618,860.0,45.0,25.7280966,74.1306891,POINT (412800 2845860)
127,1,1005715.618,870.0,90.0,25.7280972,74.1307888,POINT (412810 2845860)
127,1,1005715.618,880.0,45.0,25.7280978,74.1308885,POINT (412820 2845860)
127,1,1005715.618,890.0,45.0,25.7281881,74.1308878,POINT (412820 2845870)
127,1,1005715.618,900.0,90.0,25.7281887,74.1309875,POINT (412830 2845870)
127,1,1005715.618,910.0,45.0,25.7281893,74.1310872,POINT (412840 2845870)
127,1,1005715.618,920.0,45.0,25.7282796,74.1310866,POINT (412840 2845880)
127,1,1005715.618,930.0,135.0,25.7282802,74.1311862,POINT (412850 2845880)
127,1,1005715.618,940.0,135.0,25.7281899,74.1311869,POINT (412850 2845870)
127,1,1005715.618,950.0,90.0,25.7281905,74.1312866,POINT (412860 2845870)
127,1,1005715.618,960.0,90.0,25.7281911,74.1313863,POINT (412870 2845870)
127,1,1005715.618,970.0,90.0,25.7281917,74.1314859,POINT (412880 2845870)
127,1,1005715.618,980.0,90.0,25.7281922,74.1315856,POINT (412890 2845870)
127,1,1005715.618,990.0,135.0,25.7281928,74.1316853,POINT (412900 2845870)
127,1,1005715.618,1000.0,135.0,25.7281025,74.131686,POINT (412900 2845860)
127,1,1005715.618,1010.0,90.0,25.7281031,74.1317856,POINT (412910 2845860)
127,1,1005715.618,1020.0,135.0,25.7281037,74.1318853,POINT (412920 2845860)
127,1,1005715.618,1030.0,135.0,25.7280134,74.131886,POINT (412920 2845850)
127,1,1005715.618,1040.0,90.0,25.728014,74.1319857,POINT (412930 2845850)
